time        x        y         z          u            v       w      Spin_x     Spin_y    Spin_z     ax       ay       az
0.000     0.000     55.400    6.000     -0.000    -140.832  0.000     -240.855  -0.000    -0.000    0.000     0.000     0.000     
0.000     -0.000    55.259    6.000     -0.000    -140.796  -0.007    -240.855  -0.000    -0.000    -0.000    35.572    -7.308    
0.001     0.000     55.118    6.000     0.001     -140.763  0.001     -240.855  -0.000    -0.000    0.786     33.518    7.813     
0.002     0.000     54.978    6.000     0.004     -140.720  0.031     -240.855  -0.000    -0.000    3.193     43.135    30.023    
0.003     0.000     54.837    6.000     -0.002    -140.683  0.030     -240.855  -0.000    -0.000    -6.105    36.656    -0.456    
0.004     0.000     54.696    6.000     -0.002    -140.648  0.023     -240.855  -0.000    -0.000    0.001     35.502    -7.356    
0.005     -0.000    54.556    6.000     -0.002    -140.612  0.015     -240.855  -0.000    -0.000    0.001     35.483    -7.364    
0.006     -0.000    54.415    6.000     -0.002    -140.577  0.008     -240.855  -0.000    -0.000    0.001     35.464    -7.372    
0.007     -0.000    54.275    6.000     -0.002    -140.541  0.001     -240.855  -0.000    -0.000    0.001     35.445    -7.380    
0.008     -0.000    54.134    6.000     0.001     -140.507  -0.000    -240.855  -0.000    -0.000    3.362     34.019    -0.666    
0.009     -0.000    53.994    6.000     0.001     -140.474  -0.002    -240.855  -0.000    -0.000    -0.107    33.650    -2.339    
0.010     -0.000    53.853    6.000     0.005     -140.444  -0.016    -240.855  -0.000    -0.000    3.804     29.526    -13.421   
0.011     0.000     53.713    6.000     0.010     -140.420  -0.043    -240.855  -0.000    -0.000    5.135     23.642    -27.131   
0.012     0.000     53.572    6.000     0.020     -140.407  -0.089    -240.855  -0.000    -0.000    9.997     13.669    -46.487   
0.013     0.000     53.432    6.000     0.025     -140.383  -0.112    -240.855  -0.000    -0.000    5.270     23.792    -22.299   
0.014     0.000     53.291    6.000     0.025     -140.348  -0.119    -240.855  -0.000    -0.000    -0.006    35.326    -7.403    
0.015     0.000     53.151    6.000     0.025     -140.312  -0.127    -240.855  -0.000    -0.000    -0.006    35.307    -7.411    
0.016     0.000     53.011    6.000     0.032     -140.293  -0.162    -240.855  -0.000    -0.000    6.190     19.479    -34.990   
0.017     0.000     52.871    5.999     0.030     -140.268  -0.184    -240.855  -0.000    -0.000    -1.172    25.083    -22.114   
0.018     0.000     52.730    5.999     0.030     -140.232  -0.191    -240.855  -0.000    -0.000    -0.008    35.255    -7.417    
0.019     0.000     52.590    5.999     0.030     -140.197  -0.199    -240.855  -0.000    -0.000    -0.008    35.236    -7.425    
0.020     0.000     52.450    5.999     0.030     -140.162  -0.206    -240.855  -0.000    -0.000    -0.008    35.217    -7.432    
0.021     0.000     52.310    5.999     0.030     -140.127  -0.213    -240.855  -0.000    -0.000    -0.008    35.198    -7.440    
0.022     0.000     52.170    5.998     0.038     -140.099  -0.225    -240.855  -0.000    -0.000    7.495     27.858    -11.261   
0.023     0.000     52.030    5.998     0.047     -140.069  -0.220    -240.855  -0.000    -0.000    9.353     30.356    4.544     
0.024     0.000     51.889    5.998     0.056     -140.036  -0.208    -240.855  -0.000    -0.000    8.607     32.419    12.428    
0.025     0.000     51.749    5.998     0.055     -140.008  -0.223    -240.855  -0.000    -0.000    -1.115    27.978    -15.806   
0.026     0.001     51.609    5.997     0.055     -139.973  -0.231    -240.855  -0.000    -0.000    -0.014    35.118    -7.478    
0.027     0.001     51.470    5.997     0.056     -139.939  -0.228    -240.855  -0.000    -0.000    1.280     34.042    3.270     
0.028     0.001     51.330    5.997     0.059     -139.897  -0.198    -240.855  -0.000    -0.000    3.142     41.817    29.567    
0.029     0.001     51.190    5.997     0.053     -139.861  -0.199    -240.855  -0.000    -0.000    -6.048    36.045    -0.683    
0.030     0.001     51.050    5.997     0.053     -139.826  -0.206    -240.855  -0.000    -0.000    -0.013    35.048    -7.525    
0.031     0.001     50.910    5.996     0.053     -139.791  -0.214    -240.855  -0.000    -0.000    -0.013    35.030    -7.533    
0.032     0.001     50.770    5.996     0.053     -139.756  -0.221    -240.855  -0.000    -0.000    -0.013    35.011    -7.540    
0.033     0.001     50.631    5.996     0.053     -139.721  -0.229    -240.855  -0.000    -0.000    -0.013    34.992    -7.548    
0.034     0.001     50.491    5.996     0.056     -139.688  -0.230    -240.855  -0.000    -0.000    3.309     33.444    -0.943    
0.035     0.001     50.351    5.995     0.056     -139.655  -0.232    -240.855  -0.000    -0.000    -0.119    33.114    -2.603    
0.036     0.001     50.212    5.995     0.059     -139.626  -0.245    -240.855  -0.000    -0.000    3.223     28.421    -12.660   
0.037     0.001     50.072    5.995     0.063     -139.601  -0.267    -240.855  -0.000    -0.000    4.064     25.520    -21.922   
0.038     0.001     49.932    5.995     0.072     -139.588  -0.316    -240.855  -0.000    -0.000    8.376     12.393    -48.850   
0.039     0.001     49.793    5.994     0.079     -139.568  -0.343    -240.855  -0.000    -0.000    6.831     19.961    -27.123   
0.040     0.001     49.653    5.994     0.079     -139.533  -0.351    -240.855  -0.000    -0.000    -0.020    34.876    -7.569    
